"Geo Code","Geo Name","Line Number"
"2023A000459035","Vancouver Centre",899804
"2023A000459036","Vancouver East",902435
"2023A000459037","Vancouver Fraserview--South Burnaby",905066
"2023A000459038","Vancouver Granville",907697
"2023A000459039","Vancouver Kingsway",910328
"2023A000459040","Vancouver Quadra",912959
"2023A000459041","Vernon--Lake Country--Monashee",915590
"2023A000459042","Victoria",918221
"2023A000459043","West Vancouver--Sunshine Coast--Sea to Sky Country",920852
"2021A000260","Yukon",923483
"2023A000460001","Yukon",926114
"2021A000261","Northwest Territories",928745
"2023A000461001","Northwest Territories",931376
"2021A000262","Nunavut",934007
"2023A000462001","Nunavut",936638
