GEO_NAME,Income,Gini,Category,Count,right_edges,gini_cdf,gini_original,error_pct,error_pct_squared
Labrador,125600,0.311,"$15,000 to $19,999",115,19999,0.35010822915095285,0.311,0.1257499329612632,0.015813045639762185
Labrador,125600,0.311,"$20,000 to $24,999",330,24999,0.35010822915095285,0.311,0.1257499329612632,0.015813045639762185
Labrador,125600,0.311,"$25,000 to $29,999",195,29999,0.35010822915095285,0.311,0.1257499329612632,0.015813045639762185
Labrador,125600,0.311,"$30,000 to $34,999",290,34999,0.35010822915095285,0.311,0.1257499329612632,0.015813045639762185
Labrador,125600,0.311,"$35,000 to $39,999",270,39999,0.35010822915095285,0.311,0.1257499329612632,0.015813045639762185
Labrador,125600,0.311,"$40,000 to $44,999",300,44999,0.35010822915095285,0.311,0.1257499329612632,0.015813045639762185
Labrador,125600,0.311,"$45,000 to $49,999",245,49999,0.35010822915095285,0.311,0.1257499329612632,0.015813045639762185
Labrador,125600,0.311,"$50,000 to $59,999",545,59999,0.35010822915095285,0.311,0.1257499329612632,0.015813045639762185
Labrador,125600,0.311,"$60,000 to $69,999",540,69999,0.35010822915095285,0.311,0.1257499329612632,0.015813045639762185
Labrador,125600,0.311,"$70,000 to $79,999",530,79999,0.35010822915095285,0.311,0.1257499329612632,0.015813045639762185
Labrador,125600,0.311,"$80,000 to $89,999",515,89999,0.35010822915095285,0.311,0.1257499329612632,0.015813045639762185
Labrador,125600,0.311,"$90,000 to $99,999",500,99999,0.35010822915095285,0.311,0.1257499329612632,0.015813045639762185
Labrador,125600,0.311,"$100,000 to $124,999",1215,124999,0.35010822915095285,0.311,0.1257499329612632,0.015813045639762185
Labrador,125600,0.311,"$125,000 to $149,999",1075,149999,0.35010822915095285,0.311,0.1257499329612632,0.015813045639762185
Labrador,125600,0.311,"$150,000 to $199,999",1755,199999,0.35010822915095285,0.311,0.1257499329612632,0.015813045639762185
Labrador,125600,0.311,"$200,000 and over",1725,Inf,0.35010822915095285,0.311,0.1257499329612632,0.015813045639762185
Long Range Mountains,76700,0.313,"Under $5,000",195,5000,0.3814802625364715,0.313,0.21878678126668208,0.04786765565703499
Long Range Mountains,76700,0.313,"$5,000 to $9,999",390,9999,0.3814802625364715,0.313,0.21878678126668208,0.04786765565703499
Long Range Mountains,76700,0.313,"$10,000 to $14,999",795,14999,0.3814802625364715,0.313,0.21878678126668208,0.04786765565703499
Long Range Mountains,76700,0.313,"$15,000 to $19,999",820,19999,0.3814802625364715,0.313,0.21878678126668208,0.04786765565703499
Long Range Mountains,76700,0.313,"$20,000 to $24,999",2830,24999,0.3814802625364715,0.313,0.21878678126668208,0.04786765565703499
Long Range Mountains,76700,0.313,"$25,000 to $29,999",1725,29999,0.3814802625364715,0.313,0.21878678126668208,0.04786765565703499
Long Range Mountains,76700,0.313,"$30,000 to $34,999",2305,34999,0.3814802625364715,0.313,0.21878678126668208,0.04786765565703499
Long Range Mountains,76700,0.313,"$35,000 to $39,999",2290,39999,0.3814802625364715,0.313,0.21878678126668208,0.04786765565703499
Long Range Mountains,76700,0.313,"$40,000 to $44,999",1850,44999,0.3814802625364715,0.313,0.21878678126668208,0.04786765565703499
Long Range Mountains,76700,0.313,"$45,000 to $49,999",1700,49999,0.3814802625364715,0.313,0.21878678126668208,0.04786765565703499
Long Range Mountains,76700,0.313,"$50,000 to $59,999",3165,59999,0.3814802625364715,0.313,0.21878678126668208,0.04786765565703499
Long Range Mountains,76700,0.313,"$60,000 to $69,999",2765,69999,0.3814802625364715,0.313,0.21878678126668208,0.04786765565703499
Long Range Mountains,76700,0.313,"$70,000 to $79,999",2580,79999,0.3814802625364715,0.313,0.21878678126668208,0.04786765565703499
Long Range Mountains,76700,0.313,"$80,000 to $89,999",2370,89999,0.3814802625364715,0.313,0.21878678126668208,0.04786765565703499
Long Range Mountains,76700,0.313,"$90,000 to $99,999",1955,99999,0.3814802625364715,0.313,0.21878678126668208,0.04786765565703499
Long Range Mountains,76700,0.313,"$100,000 to $124,999",3635,124999,0.3814802625364715,0.313,0.21878678126668208,0.04786765565703499
Long Range Mountains,76700,0.313,"$125,000 to $149,999",2315,149999,0.3814802625364715,0.313,0.21878678126668208,0.04786765565703499
Long Range Mountains,76700,0.313,"$150,000 to $199,999",2330,199999,0.3814802625364715,0.313,0.21878678126668208,0.04786765565703499
Long Range Mountains,76700,0.313,"$200,000 and over",1270,Inf,0.3814802625364715,0.313,0.21878678126668208,0.04786765565703499
St. John's East,110000,0.374,"Under $5,000",335,5000,0.44072011418848167,0.374,0.1783960272419296,0.03182514253570329
St. John's East,110000,0.374,"$5,000 to $9,999",425,9999,0.44072011418848167,0.374,0.1783960272419296,0.03182514253570329
St. John's East,110000,0.374,"$10,000 to $14,999",685,14999,0.44072011418848167,0.374,0.1783960272419296,0.03182514253570329
St. John's East,110000,0.374,"$15,000 to $19,999",765,19999,0.44072011418848167,0.374,0.1783960272419296,0.03182514253570329
St. John's East,110000,0.374,"$20,000 to $24,999",1610,24999,0.44072011418848167,0.374,0.1783960272419296,0.03182514253570329
St. John's East,110000,0.374,"$25,000 to $29,999",1395,29999,0.44072011418848167,0.374,0.1783960272419296,0.03182514253570329
St. John's East,110000,0.374,"$30,000 to $34,999",1370,34999,0.44072011418848167,0.374,0.1783960272419296,0.03182514253570329
St. John's East,110000,0.374,"$35,000 to $39,999",1470,39999,0.44072011418848167,0.374,0.1783960272419296,0.03182514253570329
St. John's East,110000,0.374,"$40,000 to $44,999",1430,44999,0.44072011418848167,0.374,0.1783960272419296,0.03182514253570329
St. John's East,110000,0.374,"$45,000 to $49,999",1355,49999,0.44072011418848167,0.374,0.1783960272419296,0.03182514253570329
St. John's East,110000,0.374,"$50,000 to $59,999",2460,59999,0.44072011418848167,0.374,0.1783960272419296,0.03182514253570329
St. John's East,110000,0.374,"$60,000 to $69,999",2405,69999,0.44072011418848167,0.374,0.1783960272419296,0.03182514253570329
St. John's East,110000,0.374,"$70,000 to $79,999",2205,79999,0.44072011418848167,0.374,0.1783960272419296,0.03182514253570329
St. John's East,110000,0.374,"$80,000 to $89,999",2090,89999,0.44072011418848167,0.374,0.1783960272419296,0.03182514253570329
St. John's East,110000,0.374,"$90,000 to $99,999",1790,99999,0.44072011418848167,0.374,0.1783960272419296,0.03182514253570329
St. John's East,110000,0.374,"$100,000 to $124,999",3760,124999,0.44072011418848167,0.374,0.1783960272419296,0.03182514253570329
St. John's East,110000,0.374,"$125,000 to $149,999",2855,149999,0.44072011418848167,0.374,0.1783960272419296,0.03182514253570329
St. John's East,110000,0.374,"$150,000 to $199,999",3715,199999,0.44072011418848167,0.374,0.1783960272419296,0.03182514253570329
St. John's East,110000,0.374,"$200,000 and over",4320,Inf,0.44072011418848167,0.374,0.1783960272419296,0.03182514253570329
Terra Nova--The Peninsulas,74700,0.312,"Under $5,000",130,5000,0.3772424565537986,0.312,0.20911043767243148,0.043727175143555855
Terra Nova--The Peninsulas,74700,0.312,"$5,000 to $9,999",280,9999,0.3772424565537986,0.312,0.20911043767243148,0.043727175143555855
Terra Nova--The Peninsulas,74700,0.312,"$10,000 to $14,999",615,14999,0.3772424565537986,0.312,0.20911043767243148,0.043727175143555855
