"","male","union_both","party_close"
"447",1,NA,0.5
"448",1,1,0.5
"449",1,1,NA
"450",1,1,1
"451",0,0,1
"452",1,NA,NA
"453",1,1,NA
"454",0,1,NA
"455",0,0,NA
"456",1,1,1
"457",1,0,1
"458",0,0,NA
"459",1,NA,NA
"460",0,NA,0
"461",1,1,0
"462",1,1,0
"463",0,NA,NA
"464",1,0,NA
"465",1,0,1
"466",0,0,NA
"467",0,NA,0.5
"468",1,NA,0.5
"469",1,1,NA
"470",1,1,NA
"471",0,0,1
"472",0,1,NA
"473",0,1,0.5
"474",1,0,0.5
"475",0,0,0
"476",0,NA,1
"477",1,1,1
"478",1,0,1
"479",0,1,0.5
"480",0,1,0.5
"481",0,0,0
"482",1,1,0.5
"483",1,1,NA
"484",1,1,NA
"485",0,1,0
"486",0,1,NA
"487",0,NA,0.5
"488",0,NA,0
"489",1,NA,1
"490",0,NA,0.5
"491",0,NA,1
"492",0,NA,1
"493",0,NA,1
"494",1,NA,1
"495",1,NA,0
"496",1,0,0
"497",1,0,NA
"498",1,NA,0.5
"499",0,0,0.5
"500",0,NA,1
"501",1,NA,0.5
"502",1,NA,0.5
"503",1,0,1
"504",1,0,1
"505",1,1,0.5
"506",0,0,0.5
"507",0,1,0.5
"508",1,NA,0.5
"509",0,0,0.5
"510",1,0,0.5
"511",1,NA,0
"512",1,1,0.5
"513",1,NA,0.5
"514",0,1,0
"515",0,NA,0
"516",0,NA,NA
"517",0,1,0.5
"518",1,1,0.5
"519",0,0,NA
"520",1,0,NA
"521",1,NA,0
"522",0,NA,1
"523",1,0,0
"524",0,NA,NA
"525",0,NA,NA
"526",0,NA,NA
"527",0,1,NA
"528",0,NA,0.5
"529",0,NA,0.5
"530",0,NA,0.5
"531",1,0,0.5
"532",0,NA,0
"533",1,0,NA
"534",0,0,0
"535",0,1,0.5
"536",1,0,NA
"537",1,NA,NA
"538",0,1,1
"539",0,1,0.5
"540",1,1,1
"541",0,NA,1
"542",1,1,1
"543",0,0,0
"544",0,NA,NA
"545",1,NA,0.5
"546",1,1,0.5
"547",1,NA,0
"548",0,0,0.5
"549",1,NA,1
"550",0,0,0.5
"551",1,NA,NA
"552",1,NA,0.5
"553",0,1,0
"554",0,NA,1
"555",0,NA,0.5
"556",1,1,0.5
"557",1,NA,NA
"558",1,1,0.5
"559",1,NA,NA
"560",0,NA,0.5
"561",0,0,0.5
"562",0,1,0.5
"563",0,NA,0
"564",1,0,NA
"565",0,NA,0
"566",0,1,0.5
"567",0,NA,NA
"568",1,1,1
"569",1,1,NA
"570",0,NA,NA
"571",1,1,0.5
"572",1,1,0
"573",1,NA,0.5
"574",0,0,NA
"575",1,NA,NA
"576",0,NA,0.5
"577",0,NA,1
"578",0,NA,NA
"579",0,1,1
"580",0,0,0.5
"581",0,1,NA
"582",1,0,NA
"583",0,NA,0
"584",1,NA,0.5
"585",1,1,NA
"586",1,NA,NA
"587",0,NA,0.5
"588",0,1,0.5
"589",1,1,NA
