"","mip_lower","n"
"419","to get rid of that idiot!",1
"420","to get rid of trudeau,ie the commmunist!!!!",1
"421","to get rid of trudidiot",1
"422","to get trdeau out",1
"423","to get trudeau  out",1
"424","to get trudeau out of office",1
"425","to get trudeau out of office!",1
"426","to get trudeau out!!!",1
"427","to get trudeau out.",1
"428","to help citizens",1
"429","to keep justin trudeau",1
"430","to keep the pc govt out",1
"431","to keep things moving along",1
"432","to make the country progress",1
"433","to many to say",1
"434","to many to specify",1
"435","to see trudeau ousted from office",1
"436","to send trudeau away from the power",1
"437","too many to pick from the world is a mess",1
"438","traffic",1
"439","trafic",1
"440","travel support",1
"441","trucking",1
"442","trudeau doit rester",1
"443","trudeau gone",1
"444","trudeau has done a disservice to the entire country",1
"445","trudeau is an idiot",1
"446","trudeau is still in power.",1
"447","trudeau out",1
"448","trudeau soit élu",1
"449","trudeau veut reprendre ses erreurs",1
"450","trudeau's attitde",1
"451","trudeau's incompetence",1
"452","trudeau, he needs to go!",1
"453","trudo",1
"454","turfing trudeau & his band of traitors",1
"455","un gouvernement digne de confiance",1
"456","unity of the country",1
"457","unité",1
"458","unseating justin trudeau.",1
"459","vie civile",1
"460","wacko demonstrators",1
"461","we need a competent leader",1
"462","we need a new person in power",1
"463","what the people need",1
"464","who forms government",1
"465","who is going to win",1
"466","who leads",1
"467","who seems more genuine",1
"468","who will actually help",1
"469","who will be better for our province",1
"470","who will win",1
"471","who wins",1
"472","why are we having one",1
"473","wrong timing",1
"474","égo du premier ministre",1
