FED,Province_Territory,All_Households,Under_5000,5000_9999,10000_14999,15000_19999,20000_24999,25000_29999,30000_39999,40000_and_over,Avg_Income,Median_Income,SE_Avg_Income,Avg_Value_Dwelling,Less_than_Grade9,Grades9_13_no_cert,Grades9_13_with_cert,Trades_cert,Other_nonuniv_no_cert,Other_nonuniv_with_cert,Univ_no_degree,Univ_with_degree
Frontenac,Quebec,21380,1665,3345,2740,3305,3325,2385,2700,1925,21363,19535,207,39681,17615,9770,8300,2800,3065,7430,1775,1660
Gamelin,Quebec,33110,3005,4475,4520,4525,4270,3555,4845,3920,22690,20031,195,67455,19245,11540,12615,2015,5565,9490,4920,4185
Gaspé,Quebec,16285,1200,2675,2495,2445,2105,1465,1710,1710,21422,18551,239,35520,16590,9630,6610,2260,2230,4635,1520,1355
Gatineau,Quebec,30490,2315,3670,3045,3820,4135,3785,5335,4380,24435,22825,202,44179,17110,18480,12730,3310,4880,9525,4100,3940
Hochelaga-Maisonneuve,Quebec,28580,4910,5910,4560,4160,3255,2130,2340,1325,16197,13635,149,45900,20935,11745,8880,1600,3680,5045,2870,2105
Hull,Quebec,29420,2810,3765,3595,3535,3710,2130,4260,4515,24064,20902,252,53940,13675,14615,9015,2195,5090,7905,5220,6870
Joliette,Quebec,30525,2720,4980,4425,4125,4065,3595,3895,2725,21186,18742,185,44540,21230,14270,12925,3710,4470,8920,2945,3015
Jonquière,Quebec,20610,1815,2385,2510,2735,3375,2425,2980,2155,22519,21064,205,44483,11520,9855,8125,4055,4205,8260,2720,2720
Kamouraska-Rivière-du-Loup,Quebec,21640,2250,4280,3470,3185,2610,1825,1695,1695,19385,16228,212,38938,17770,10195,9580,2545,3175,6490,1680,2225
La Prairie,Quebec,37985,1965,2920,3610,4360,4735,4600,7150,8650,29509,26260,213,64924,13090,16810,14445,2675,7385,13025,8840,11195
Labelle,Quebec,32090,3445,5000,4965,4435,4130,2990,3905,3225,20868,18067,181,50095,20490,14985,12760,3495,4965,8540,3510,3430
Lac-Saint-Jean,Quebec,21555,1820,2500,2845,3175,3615,3210,3610,1810,22264,20419,288,42244,13530,12195,9520,4955,3585,7880,2670,2445
Lachine,Quebec,28755,1350,3175,3610,3390,3835,3610,4640,6150,32348,26316,301,81814,7075,11970,8760,1385,5695,9405,9670,10980
Langelier,Quebec,29350,5035,6070,3045,3615,4535,1925,2880,2250,18217,13806,219,45618,16095,8990,8975,1655,3685,5945,4375,6895
LaSalle,Quebec,34195,2850,5410,4410,4875,4955,4075,5465,3045,22820,21054,162,68909,19755,15820,12915,2395,5935,9330,5505,3430
