FED,Province_Territory,All_Households,Under_5000,5000_9999,10000_14999,15000_19999,20000_24999,25000_29999,30000_39999,40000_and_over,Avg_Income,Median_Income,SE_Avg_Income,Avg_Value_Dwelling,Less_than_Grade9,Grades9_13_no_cert,Grades9_13_with_cert,Trades_cert,Other_nonuniv_no_cert,Other_nonuniv_with_cert,Univ_no_degree,Univ_with_degree
Ottawa-Vanier,Ontario,34010,3085,5870,5040,4780,3835,3185,4040,4040,17920,17920,195,67668,11515,16290,9195,1625,3945,7205,6645,10145
Oxford,Ontario,28810,1730,3985,4065,3985,4270,3280,4120,2910,22470,20204,212,60266,13840,22015,8765,2255,2885,6275,3265,3140
Parkdale-High Park,Ontario,34815,3100,5380,5185,4830,4140,3300,4400,4175,22037,22037,185,113844,12500,15900,7145,1480,4030,9430,7505,10225
Parry Sound-Muskoka,Ontario,25470,2090,5480,4660,3670,2935,2365,2550,1725,18813,15646,179,53317,12155,19310,6955,2280,2485,7275,3080,2675
Perth,Ontario,22560,1355,3505,3665,3185,3215,2495,3060,2085,21988,19280,255,56481,10745,16390,6685,1925,2160,6885,2725,2430
Peterborough,Ontario,33250,2210,5035,4830,4515,4695,3775,4795,3365,22154,20024,181,53731,11575,22750,10075,3025,4640,11050,4555,4975
Prince Edward-Hastings,Ontario,20455,1130,2355,3095,2920,3210,2525,2795,1700,21108,20735,256,53896,10620,19185,7790,2190,3135,8690,3150,3550
Renfrew-Nipissing-Pembroke,Ontario,26250,2235,4495,3775,3905,3450,2520,2835,2520,20095,19982,185,44475,14535,19015,8385,2845,2700,7580,3125,3275
Rosedale,Ontario,41615,5630,7630,5175,3900,5175,2975,4375,7425,24673,10837,374,197347,9900,15265,6860,1200,4135,9075,10275,16490
Sarnia-Lambton,Ontario,29610,1840,3685,3025,3100,4135,4490,5060,5060,26254,24271,223,63081,8150,18320,10115,3500,4320,9810,4385,5360
Sault Ste. Marie,Ontario,21950,1650,2805,2025,2055,3205,3095,3730,3400,25499,23884,259,57537,8735,15385,7330,1990,2715,6440,4035,3340
Scarborough Centre,Ontario,28360,1240,2310,3010,3235,3610,3590,5950,5415,27712,25980,205,95076,11040,22765,10585,2420,4370,9350,5275,3750
Scarborough East (Est),Ontario,31310,1545,3175,2740,3010,3315,3460,6010,7390,28432,26580,217,107432,9070,25060,11525,2320,5070,11120,6075,5235
Scarborough West (Ouest),Ontario,30885,2355,4200,3510,3755,3790,3625,5380,4270,24191,22078,206,90221,12470,22695,9095,2315,4265,8375,4665,3975
Simcoe North (Nord),Ontario,28330,1825,4870,4685,4235,3900,3065,2365,2330,21057,18080,233,55591,12265,21355,7615,2660,2990,9910,3095,3070
Simcoe South (Sud),Ontario,32955,1075,3840,4160,4305,4875,4125,5745,4290,24720,22505,190,66229,11260,25650,10455,3075,4755,12215,4885,4440
Spadina,Ontario,28305,2794,4610,4185,3700,3560,2370,3025,3025,23105,18272,280,130336,15145,11225,4865,840,3025,5040,7365,14035
St. Catharines,Ontario,37510,2765,5665,4775,4305,5215,4535,6005,4250,23105,21051,171,54549,14675,26325,10750,3090,4475,10635,5380,5495
St. Paul's,Ontario,35545,1845,4085,4950,4525,3915,2975,3970,9285,35154,22848,512,223497,7355,12025,6215,910,4095,7330,8990,18220
Stormont-Dundas,Ontario,29370,2205,5355,4340,4210,3620,3000,3805,2835,21183,18376,187,53325,14725,21775,9785,2235,3810,8015,3750,3155
Sudbury,Ontario,28705,2820,3380,3380,4110,4455,4495,3395,3395,22661,20772,192,56131,14145,18255,7635,2170,3740,8170,4395,4810
Thunder Bay-Atikokan,Ontario,22205,1275,2885,2425,2505,2840,3845,3845,3560,25594,23557,254,61022,9320,16115,6185,2365,2405,6900,3705,2830
Thunder Bay-Nipigon,Ontario,25185,1655,3005,2745,2370,3545,2865,4790,4040,26154,23932,254,66109,11280,16230,5780,2830,2855,8440,4650,4200
Timiskaming,Ontario,18190,1770,3930,2555,2350,2455,1655,1895,1440,19537,16587,243,38671,11205,13860,4890,1490,1725,4410,1860,1615
Timins-Chapleau,Ontario,20960,1750,2945,1935,2520,3280,3280,3310,1440,23584,21814,245,49373,11670,15710,5755,1965,2080,5980,2450,2150
Trinity,Ontario,22720,2035,3035,3265,3470,3220,2955,2605,2330,21531,19434,194,87787,25660,13850,5260,1255,2565,3755,3130,2980
Victoria-Haliburton,Ontario,31660,2455,6055,4465,4495,3180,3315,3315,3315,19533,16812,192,57054,14185,24365,9070,2730,3390,8800,3465,2720
Waterloo,Ontario,38655,1675,4095,4670,4675,4960,4345,6240,5990,26260,23020,219,72469,15320,22015,10575,2465,4340,10795,8130,9510
Welland,Ontario,27800,1995,4030,4030,3435,3800,4180,4180,3255,23521,21329,218,52526,13680,20415,8510,2065,3445,7295,3715,3525
Wellington-Dufferin-Simcoe,Ontario,27960,1635,3865,3400,3555,4085,4095,4095,4290,21335,21335,230,69462,11690,21640,8705,2620,2780,9050,3850,3540
Willowdale,Ontario,34450,1615,3610,4100,3875,5360,5360,6030,5590,25040,25040,256,125864,10510,20115,9480,1855,4840,10970,8370,10650
Windsor West (Ouest),Ontario,29460,3185,5895,4075,3440,3540,2635,3355,3335,21063,17353,304,61567,12620,18230,7195,1850,3860,6520,5520,5165
Windsor-Walkerville,Ontario,29850,2075,4875,3785,3850,3930,3185,4375,3175,24074,20804,326,63026,12150,19105,8265,2245,4235,7710,5450,5110
York Centre,Ontario,33620,2820,3980,4005,4255,4090,3185,5640,4955,24990,22072,281,100888,18940,23015,9290,2460,4680,9240,6365,5970
York East (Est),Ontario,39035,2160,5725,5725,5360,5095,4655,6280,5175,24287,21631,177,87204,12750,23350,10020,2350,5400,11530,7475,8240
York North (Nord),Ontario,43345,1090,2805,2805,3160,4390,5015,10040,13676,32610,32610,300,139441,12435,28720,13290,3310,7145,17215,11455,14490
York South (Sud)-Weston,Ontario,31425,2215,4195,4085,4085,3710,3710,4580,4580,22693,22693,87,84654,17405,21115,7385,2330,4040,8165,4725,4480
York West (Ouest),Ontario,30175,1950,3175,3175,3965,3885,3885,5245,5245,24572,24118,185,99792,21010,21670,8405,2810,4160,8175,4480,3245
York-Peel,Ontario,34490,1150,2510,2775,5055,4115,4495,7760,7760,31512,28846,258,108158,9825,26325,11405,3185,5430,13555,6750,7045
York-Scarborough,Ontario,85025,4215,10585,7995,7005,8745,14910,14910,15090,29533,29533,201,106297,16530,43245,22755,4255,10880,25095,16320,17570
Manitoba,Manitoba,357985,36115,51210,46270,45415,38885,33505,42725,37885,21721,19086,72,51755,,,,,,,,
Brandon-Souris,Manitoba,25655,2875,4530,3990,4000,3245,2130,2810,1865,19386,16825,201,43051,10860,19820,4590,1170,2825,7560,4470,2980
Churchill,Manitoba,16265,1410,1805,1700,1800,2305,2035,2885,2325,24837,22981,283,36750,10770,13110,2665,1130,1845,4890,2450,2005
Dauphin,Manitoba,18415,3120,4540,3295,2395,1625,1250,1230,875,15770,12252,218,34242,15745,13770,2485,660,1210,3275,1880,1385
Lisgar,Manitoba,20715,2430,3885,3785,3080,2510,1745,1770,1515,18484,15393,233,41568,16295,16895,3645,795,1750,4480,3010,1845
Portage-Marquette,Manitoba,21235,2535,4470,3745,2890,2275,1805,1895,1550,18357,14778,214,37789,13140,17190,3410,780,1770,5155,3040,1940
Provencher,Manitoba,21890,2125,3660,3010,3045,3060,2415,2755,1820,20533,18483,247,49688,17295,17480,3955,1185,2120,5090,2740,2440
Selkirk-Interlake,Manitoba,20730,3560,3560,3000,2745,2450,2115,2605,905,22639,20198,226,50170,13720,17575,3495,1210,2150,5365,2835,1955
St. Boniface,Manitoba,31890,2840,3880,4240,4160,4005,4210,5005,4005,23739,21607,228,59085,8695,22670,7270,1650,4180,9765,6765,6535
Winnipeg North (Nord),Manitoba,31040,2995,4045,4355,4080,5005,5005,4740,2340,22087,21607,193,52422,14885,23305,6595,1965,3765,7650,5615,4190
Winnipeg North Centre (Nord-Centre),Manitoba,26065,5310,5970,4420,3465,2815,1695,1485,905,14713,11863,159,37694,14640,15240,3675,1160,2680,4325,3705,2760
Winnipeg-Assiniboine,Manitoba,32485,1280,2350,3025,3430,4070,4070,6580,7895,31625,27448,300,76948,5440,22375,7530,1950,4705,11320,9905,10545
Winnipeg-Birds Hill,Manitoba,33885,2055,3630,4010,4805,5200,4310,5875,3810,23912,22547,163,58856,11205,27020,8055,2305,4700,10925,6150,4235
Winnipeg-Fort Garry,Manitoba,33595,3010,4585,4770,4260,4245,4615,4785,4785,23727,20186,207,62085,6755,17470,6265,1265,4195,8470,9335,11510
Winnipeg-St. James,Manitoba,24110,2430,3705,4140,3580,3005,2870,2870,1750,19624,17457,174,44312,9920,15475,4855,1410,3120,6545,4680,3285
Saskatchewan,Saskatchewan,332710,27660,57250,46270,42665,38590,33365,42150,43770,22537,19086,69,51143,,,,,,,,
Assiniboia,Saskatchewan,20865,1365,3355,3270,2835,2115,1595,2660,3140,20865,24504,385,43319,10075,17230,3770,930,2010,5545,3525,1755
Humboldt-Lake Centre,Saskatchewan,21050,1955,4465,3790,2745,2480,1745,1950,1955,19385,18380,303,41007,14420,15920,3300,825,1925,4770,3605,1665
Kindersley-Lloydminster,Saskatchewan,21875,1545,3270,2790,3020,2885,2335,2590,3245,24284,20297,284,47086,10350,18245,4000,910,2420,6140,4095,1805
Mackenzie,Saskatchewan,18135,1865,4015,2790,2420,2030,1525,1865,1630,19500,15790,281,37359,13510,13860,2715,780,1510,3990,2675,1425
Moose Jaw,Saskatchewan,22155,1470,3860,3080,2965,2875,2240,3070,2600,22488,19485,242,44684,8680,16900,4230,1390,2840,6785,3810,2440
Prince Albert,Saskatchewan,23470,2430,4735,3360,2805,2550,2180,2990,2415,20852,17095,246,46852,15060,16735,4020,1140,2595,6095,3850,2560
Qu'Appelle-Moose Mountain,Saskatchewan,18990,1685,4115,3400,2515,1700,1460,1780,2415,19937,15555,277,36105,11420,15305,3080,850,1550,4230,2980,1350
Regina East (Est),Saskatchewan,29575,2200,4130,3550,3600,4520,3145,4610,4785,24812,21771,228,59934,10590,19430,6300,1650,3250,8395,7025,5595
Regina West (Ouest),Saskatchewan,32275,1905,3295,3580,3890,4210,4050,6090,5275,26508,24126,221,60289,8250,20940,7800,1930,4320,9790,8930,6580
Saskatoon East (Est),Saskatchewan,27965,1865,3635,3565,3385,3105,2835,4375,5205,28354,22407,279,74726,5980,15105,5345,1370,3270,9155,9320,9410
Saskatoon West (Ouest),Saskatchewan,36080,3050,5405,4880,4815,4775,4115,5120,3925,22194,19881,175,84585,14355,24080,6830,1625,4815,11540,7095,4640
Swift Current-Maple Creek,Saskatchewan,18285,1405,2980,3400,3440,1865,1730,1730,1995,24383,19786,315,41877,9485,15000,3390,875,1900,4905,3200,1435
The Battlefords-Meadow Lake,Saskatchewan,19560,2150,4020,3115,2420,2045,1725,2100,1995,20052,15878,260,43780,14445,15445,2885,760,1710,4690,2925,1780
Yorkton-Melville,Saskatchewan,22815,2790,5075,6075,1695,1895,1725,2100,2100,13566,15878,366,41631,18000,16135,3470,960,1610,4320,2775,1580
Alberta,Alberta,758240,44895,84705,85975,87190,82110,66555,132525,156260,27969,24547,56,94179,,,,,,,,
Athabasca,Alberta,26965,2165,3180,2855,2760,2755,2820,4640,5785,26814,24593,258,65762,12745,21145,5170,2440,3285,10065,3815,3790
Bow River,Alberta,34675,3535,3540,4065,4130,3905,3905,5825,5785,25117,24672,341,112895,8780,26435,9065,2105,5460,13275,7315,6505
Calgary Centre,Alberta,42205,3535,7130,6820,5845,4800,3745,4585,5745,23697,17939,286,136978,6450,17905,7425,1820,5755,11235,9505,12530
Calgary East (Est),Alberta,49070,2480,3825,4580,5390,6380,6655,10610,9170,27533,26446,161,87780,12890,38955,13230,3755,8480,19610,9275,6755
Calgary North (Nord),Alberta,36775,1210,2775,3630,3635,3795,4110,9835,7785,29000,29000,228,108024,6915,23420,8455,2255,6585,15290,9880,11630
Calgary South (Sud),Alberta,45230,1325,2400,2940,3785,4580,4580,9745,15080,38392,32836,374,135412,5140,28675,12230,2935,7785,18735,13400,16370
Calgary West (Ouest),Alberta,35645,1525,3095,3380,3940,3875,3695,6350,9790,32248,27501,281,123544,5540,22350,8465,2385,6070,13390,9810,12925
Crowfoot,Alberta,22610,1690,3410,3410,2620,2195,2975,2975,3955,22610,19701,279,56459,8930,19245,5415,1325,2515,7010,2890,2275
Edmonton East (Est),Alberta,39285,3515,7075,6045,5260,4895,3510,4870,4120,21013,17760,174,91872,14035,21400,7320,1945,5390,10340,5985,6190
Edmonton North (Nord),Alberta,40575,2130,3055,3805,4565,4880,4995,8895,8255,28199,26682,178,89763,12080,31575,12595,3155,6550,16180,6750,5725
Edmonton South (Sud),Alberta,37285,1845,3160,3640,3690,3500,3095,6315,12025,35158,28453,341,134870,4575,19235,8600,1855,5160,13045,11625,18700
Edmonton West (Ouest),Alberta,37850,2515,4225,4870,4600,4255,3930,6295,7160,26305,23206,205,99019,8580,23615,9380,2520,5930,13990,7440,7525
Edmonton-Strathcona,Alberta,41450,1845,3620,4325,4400,5225,5440,8060,7160,28743,26300,188,95222,9170,24610,10640,2745,6990,16020,8445,10950
Lethbridge-Foothills,Alberta,34140,2220,5005,4490,4430,4320,4765,4955,4800,24208,21018,220,68691,11620,25010,7265,2025,5210,11815,6810,5145
Medicine Hat,Alberta,32240,1960,4320,4020,4235,4185,4110,5335,4735,25113,21788,242,66619,12955,26045,7330,1820,4425,10295,5025,3715
Peace River,Alberta,30080,2280,4175,3785,3535,3250,3145,4395,5530,25675,21914,257,63378,14280,24510,7080,1925,3750,9870,4070,3625
Pembina,Alberta,39940,1485,2630,2875,3015,4110,4705,9530,11590,32758,30972,216,101098,8685,30750,11660,3015,5765,18135,7480,9325
Red Deer,Alberta,39190,2710,5005,5130,4570,4965,4450,6100,6265,25269,22050,229,75909,10920,30810,9880,2660,5575,14680,5855,5020
Vegreville,Alberta,27295,2450,3940,3850,3465,3480,3395,3290,5005,22263,18294,252,63765,14520,22060,5770,1445,2825,8045,3105,3260
Wetaskiwin,Alberta,29835,1960,3940,3465,3395,3395,4935,4935,4735,22752,22752,269,81055,11185,24485,7435,2115,3960,10170,4075,3590
Yellowhead,Alberta,35910,2170,3920,3490,3545,3460,4270,7005,7040,27653,25397,210,80484,12665,30330,9375,2490,4350,12775,4645,4455
British Columbia - Colombie-Britannique,British Columbia,996645,66235,131925,115690,108930,121585,110010,165925,176355,26171,23042,45,128081,,,,,,,,
Burnaby,British Columbia,40485,2580,5355,4695,4240,4735,4120,7995,7995,26754,23437,210,163832,9275,25130,10825,2625,5945,13685,9535,6715
Capilano,British Columbia,34765,1630,3630,3430,3330,3450,3480,5180,11195,35638,28018,398,250763,3590,16155,8910,1535,5185,11360,12330,12525
Cariboo-Chilcotin,British Columbia,27650,2390,3260,2795,3040,3950,3720,4605,4287,23000,23000,213,74838,10275,23260,7610,2280,2935,8440,4440,2665
Comox-Powell River,British Columbia,42080,3025,5120,4785,4765,5380,4270,7005,8110,25068,23595,184,86480,11175,31950,11405,3275,5175,14945,8075,5155
Cowichan-Malahat-The Islands (Les Îles),British Columbia,35075,2090,2600,4150,4290,3985,3875,6770,7080,26225,24739,191,104482,8470,27480,9030,2920,4555,11505,7040,4865
Esquimalt-Saanich,British Columbia,40840,1910,7515,4670,4990,4540,4540,6895,7210,27208,27411,204,137891,7610,27055,11060,3375,5940,14420,10855,9230
Fraser Valley East (Est),British Columbia,37395,2535,5895,4850,4780,4735,4060,5530,5005,23749,20592,265,104219,14465,27380,9725,2600,5240,12070,6435,4125
Fraser Valley West (Ouest),British Columbia,42975,1540,7325,4130,4800,4850,5495,8330,8330,29458,24626,190,145461,12350,33850,11735,3090,6305,14980,8105,4575
Kamloops-Shuswap,British Columbia,36735,2560,4875,4075,3650,4750,4430,6560,5725,25431,23218,209,85928,10905,27670,9650,3020,5240,13415,6460,4260
Kootenay East (Est)-Revelstoke,British Columbia,27560,1805,3355,2905,3725,4015,3580,4980,4510,25802,24104,227,68157,8690,20905,7200,2055,3505,9535,4480,3025
Kootenay West (Ouest),British Columbia,23435,1695,2710,2380,2690,3410,2895,3890,3100,23729,22309,211,67336,7885,15135,5530,1880,2620,8350,5015,3125
Mission-Port Moody,British Columbia,38860,2325,3955,3375,3335,3455,4765,8215,7885,27828,25358,185,137776,8880,28480,11235,2765,5685,15220,8690,5505
Nanaimo-Alberni,British Columbia,40300,3065,5625,4800,4070,4610,4255,6255,6825,24889,22504,185,94795,11420,30900,9765,3300,5255,12950,7410,4760
New Westminster-Coquitlam,British Columbia,34370,2330,4985,4130,4240,3910,3910,5480,5850,25386,21839,226,142257,8150,22770,8430,2205,4680,10395,7380,5015
North Vancouver-Burnaby,British Columbia,30515,1240,2540,2800,2675,3120,3500,6125,8515,31400,29053,253,182446,6085,19705,9300,2005,5005,11045,9060,7145
Okanagan North (Nord),British Columbia,43935,3130,7515,6230,5260,5670,4470,5845,5845,22920,18983,187,104534,16100,32005,9390,3270,6015,14890,7855,4640
Okanagan-Similkameen,British Columbia,35315,2350,6460,5260,4505,4325,3785,3785,5845,19843,18983,198,86128,13800,26060,7535,2480,4275,11315,5640,3595
Prince George-Bulkley Valley,British Columbia,29675,1895,2525,2500,3030,4090,3985,5850,5800,27828,25840,215,72206,10340,22735,8310,2015,4015,10230,5150,3760
Prince George-Peace River,British Columbia,25540,1960,2285,2380,2220,3215,3205,4715,5560,27804,25949,248,68715,9245,20950,6735,1875,3325,8615,4230,2670
Richmond-South Delta (Sud),British Columbia,42825,1645,3235,3045,3830,4655,4050,9210,12005,32315,29875,224,173387,8390,29115,13335,2935,7105,16955,11510,9515
Skeena,British Columbia,22700,1255,1665,1860,2100,3020,3870,4715,5125,28355,27379,250,73253,8685,17965,6250,1785,2820,8110,4355,3035
Surrey-White Rock-North Delta (Nord),British Columbia,45860,2560,4890,4335,4415,5515,5835,9215,9090,27941,26057,200,137049,10750,33295,13975,3150,6810,17635,9810,6225
Vancouver Centre,British Columbia,51310,5085,9410,8000,6415,4110,4620,4220,9770,19770,15889,190,189244,7305,15325,7945,1670,5885,12455,12970,14690
Vancouver East (Est),British Columbia,32675,4195,6745,4680,4040,3625,3055,3515,2815,18750,15765,162,135926,17360,18450,7025,1575,4360,7580,6560,4450
Vancouver Kingsway,British Columbia,28645,1980,4145,3250,3185,3475,3070,4865,4675,24598,22477,197,143903,15595,21665,7765,1720,4540,8615,6155,3805
Vancouver Quadra,British Columbia,30100,1380,3640,3170,3095,2910,2650,4430,8845,34762,26388,448,249457,5755,13825,6340,1030,4350,7950,11170,15720
Vancouver South,British Columbia,31915,1770,3890,3530,3420,3410,3100,5055,7735,30999,24912,344,213874,9195,18925,7805,1585,4750,8885,9885,9720
Victoria,British Columbia,43260,3330,9100,7455,5860,4865,3385,4530,4735,21015,16346,190,132518,7900,21510,8230,1870,5425,11290,10360,9300
Yukon,Yukon,7585,535,625,660,760,755,790,1385,2090,29807,27718,231,61528,2125,4685,1915,480,1020,3365,1885,1520
Northwest Territories - Territoires du Nord-Ouest,Northwest Territories,11530,985,1265,1170,1305,1310,1225,1970,2305,26359,23884,,49123,,,,,,,,
Nunatsiaq,Nunavut,3440,350,530,500,465,400,325,415,460,21771,18520,,61266,5530,1640,275,195,495,850,385,465
Western Arctic,Northwest Territories,8090,635,740,670,835,905,675,1560,1850,28313,26447,,48519,5100,4985,1645,560,1105,3000,1715,1715
